Item,Description,Category,Fqty,Shortage,SupplierID
9171074,Ordinary IC SY6974BQCC QFN4x4-24,317.General Electronic Materials-01.General IC,1160000,0,O31
8352135,Chip capacitor 50V 2.0pF ?0.1PF C0G 0201;0.33mm Wentai,317.General Electronic Materials-06.CAPACITOR,135000,0,O19
3887359,Antenna plate spring AA269 titanium YCUT-FX-EH T=0.08 0.8H,321. Structured parts-12.smt small hardware,4655000,0,J4
8352146,Chip capacitor     6.3V 1.0uF ?20%; X5R 0201 Wentai,317.General Electronic Materials-06.CAPACITOR,187533,0,O19
8411122,chip inductor 1.0uH ?20% 4200mA 2.0*1.6*1.0mm Wentai,317.General Electronic Materials-02.inductor,219000,0,O19
9171119,Ordinary IC SGM41512YTQF24G/TR TQFN24,317.General Electronic Materials-01.General IC,294000,0,O31
9171142,Ordinary IC SC8517CFFR CSP,317.General Electronic Materials-01.General IC,25853,0,O31
3887345,Screw gasket AA310 titanium,321. Structured parts-12.smt small hardware,179000,0,J4
8411293,Surface mounted inductor 3.3nH ?0.2 0.18A 0.9O 0.42mm*0.22mm*0.22mm 7500MHz Huaqin,317.General Electronic Materials-02.inductor,240000,0,O19
8242309,Surface mounted Resistor 1/20W 698O ?1% 0201 Wentai,317.General Electronic Materials-07.RSistor,45000,0,O19
8360290,Multi Layer ceramic capacitor 6.3V 10uF ?20% X5R 0402 longqi,317.General Electronic Materials-06.CAPACITOR,2050150,0,O19
8242312,Surface mounted Resistor 1/20W 0O ?5% R0201 Longqi,317.General Electronic Materials-07.RSistor,1654289,0,O19
8242320,Surface mounted Resistor 1/20W 51000O ?1% R0201 Longqi,317.General Electronic Materials-07.RSistor,91180,0,O19
8242352,Surface mounted Resistor 1/20W 20kO ?1% 0201 Longqi,317.General Electronic Materials-07.RSistor,29845,0,O19
8242383,Surface mounted Resistor 1/20W 0O ?5% 0201 Huaqin,317.General Electronic Materials-07.RSistor,16500000,0,O19
9171340,Driver LED driver 1.6A ?(4~6.5)V CSP 1.93mm*1.13mm*0.657mm SM5109C Huaqin Huaqin,317.General Electronic Materials-01.General IC,310000,0,O19
